lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude,rss,doppler,label,altitude_difference,speed_change,trajectory_jump,signal_strength_variation,doppler_shift_anomaly,Simulated_Attack,Predicted_Category
40.77859244,-73.36471744,277.9581399,19.3885129,-24.28895687,2640.021251,2620.720495,-67.82988759,-105.5442425539413,2,19.300756000000092,162.0260013,0.12731597999999167,102.90374405496402,266.6107257361766,GNSS Jamming (Simulated),GNSS Jamming
40.72431661,-74.14816423,56.84315217,205.1735245,-0.65024,-7.62,1422.9190719423957,-86.10227047,-34.13718991288053,0,1430.5390719423956,0.0,0.0,144.38668850496222,455.50283254314525,GNSS Jamming (Simulated),GNSS Spoofing
40.61436023,-74.05883789,185.0354307,193.9976084,7.80288,3733.8,3810.0,-85.26374087,477.4415928374837,0,76.19999999999982,0.12376059999999711,0.02051219999999887,134.81433528618857,351.69284634035137,GNSS Jamming (Simulated),Normal GNSS
40.64804254,-73.40111916,221.1353448,183.6699787,-26.54495785,-949.9262131,-957.2531458,-67.36555948,-4.711212529715382,2,7.326932699999929,19.41230519999999,0.16050957999999582,88.70450318944798,312.1807603296876,GNSS Jamming (Simulated),Normal GNSS
40.76342481,-73.48215824,50.25749648,312.790002,3.320441291,-1058.098179,-1064.495608,-68.73614077,-139.54361704845658,2,6.397428999999875,202.35930552000002,0.09501016000000106,150.9506057657332,164.41943297923024,GNSS Jamming (Simulated),GNSS Jamming
40.97753385,-73.95121988,61.53576048,339.4439548,-1.6256,91.44,45.72,-57.51525396,-37.75973942167241,3,45.72,0.0,0.007772839999994119,143.5459073656412,200.93503787722824,GNSS Jamming (Simulated),Normal GNSS
40.77663803,-73.86904907,29.82888096,302.3196165,-0.32512,-7.62,1422.9190719423957,-81.29480248,180.90725630833487,0,1430.5390719423956,0.0,0.0009823299999922597,100.0063064275584,246.425598902978,GNSS Jamming (Simulated),GNSS Spoofing
41.06623077,-73.70783997,117.37718697045607,182.77641750174155,1.7649764068873306,1296.6709826257418,1422.9190719423957,-86.31638699,-49.085468518129616,0,126.24808931665393,0.0,0.0015298700000130339,138.65369909214053,264.35502845751125,GNSS Jamming (Simulated),Normal GNSS
40.74476025,-73.32544004,217.1461597,60.32174431,-23.29265824,-2639.752,-2646.02076,-67.57803882,-1.7505283904348516,2,6.268759999999929,121.66326012,0.010286829999998304,88.67703341885925,227.3994142862797,GNSS Jamming (Simulated),GNSS Jamming
40.86785889,-74.03918457,64.12622359,228.2519456,-3.2512,0.0,53.34,-84.85520324,-294.4673288669158,0,53.34,0.0,0.0,150.07990598382003,401.9746203340951,GNSS Jamming (Simulated),Weak GNSS Signal
