cluster_id,estimated_lat,estimated_lon,num_points
22,40.8380891,-74.13429696571428,7
0,40.741684862793164,-73.71225932722523,225
1,40.575082049705884,-73.71911499911766,34
35,40.351419718,-73.808845544,5
19,40.338700747999994,-73.93872182999999,5
2,40.599118225,-73.9642238055,20
3,40.644131775,-73.86317529,6
29,40.476743541999994,-73.820382568,5
4,40.579209135,-73.85335437625,16
5,40.65441181,-73.72999719428572,7
6,40.561701633333335,-73.68773163333331,6
7,40.35702868,-73.910599089375,16
8,40.64078612903224,-73.6107055748387,31
9,40.63802184,-73.58089106117646,17
30,40.63048679435897,-73.5104472174359,39
28,40.67042672714285,-73.56257152,7
14,40.63815830714286,-74.20497922857143,14
10,40.616734920000006,-74.22488680400001,5
11,40.774247136099994,-73.8633891988,200
12,40.72877702494846,-73.96164575051547,97
13,40.756027706,-73.83498539,5
15,40.644474022727266,-74.10636782,11
16,40.73075523254902,-74.15102060313727,51
17,40.71534788535713,-74.21964101964286,28
18,40.78499682568181,-73.87737757431819,44
36,40.98304432,-74.052319592,5
20,40.7228141395238,-73.4014811461905,21
21,40.866312228125,-74.12145276250001,16
23,40.76177753333333,-74.21891455000001,6
24,41.07385216260871,-73.70838663326087,46
25,40.88621603615385,-74.25006439615385,13
26,40.885119329999995,-74.28448306,25
27,40.71033450565218,-73.54435669804347,46
31,40.87614840153847,-73.7704434617949,39
32,40.677022627777774,-73.79489644222221,9
33,40.7526091534375,-74.0021354496875,32
34,40.70104997617283,-74.03691990728393,81
37,40.97670155241378,-74.06852635931034,29
38,40.62694669,-73.54556496000001,5
39,40.69398793125,-73.8700517,8
40,40.803496691999996,-73.83014037999999,5
